Nr,Buitendiameter,Dikte,Lengte
5,500,10,0
13,1800,90,0
14,1800,85,0
15,1800,85,0
16,1800,70,0
17,1800,90,0
18,1800,90,0
19,1800,79,0
21,1800,70,0
22,1800,70,0
23,1800,70,0
24,1800,70,0
25,1800,70,0
26,1800,75,0
27,1800,79,0
28,1800,50,0
29,1800,65,0
31,1800,60,0
32,1800,60,0
33,1800,60,0
34,1800,60,0
35,1800,60,0
36,1800,65,0
37,1800,70,0
38,1800,40,0
39,1800,55,0
41,1800,50,0
42,1800,55,0
43,1800,45,0
44,1800,50,0
50,1800,55,0
51,1800,55,0
52,1800,65,0
53,1800,65,0
54,1800,65,0
55,1800,65,0
56,1800,65,0
57,1800,60,0
58,1800,50,0
59,1800,40,0
60,1800,40,0
61,1800,40,0
62,1200,30,0
63,1200,30,0
64,1200,25,0
65,1200,25,0
201,800,16,0
202,800,16,0
203,600,12,0
204,800,16,0
205,600,12,0
211,800,16,0
212,600,12,0
213,800,16,0
214,600,12,0
215,800,16,0
216,600,12,0
217,800,16,0
218,600,12,0
219,800,16,0
220,600,12,0
221,800,16,0
222,600,12,0
223,800,20,0
224,1800,40,0
225,800,16,0
226,600,12,0
227,800,16,0
228,500,10,0
229,500,10,0
230,800,20,0
231,800,20,0
232,800,16,0
233,800,16,0
234,800,20,0
235,800,20,0
236,800,20,0
237,800,16,0
238,800,16,0
241,800,16,0
242,800,16,0
243,800,16,0
244,800,16,0
245,800,16,0
246,800,16,0
247,800,16,0
248,800,16,0
249,800,16,0
250,800,16,0
251,800,16,0
252,800,16,0
253,800,20,0
254,800,16,0
255,800,16,0
256,800,16,0
257,800,20,0
258,800,20,0
259,800,30,0
261,800,16,0
262,800,16,0
263,800,16,0
264,800,16,0
265,800,16,0
266,800,16,0
267,800,16,0
268,800,16,0
269,800,16,0
270,800,16,0
271,800,16,0
272,800,16,0
273,800,20,0
274,800,16,0
275,800,16,0
276,800,16,0
277,800,20,0
278,800,20,0
279,800,30,0
281,500,10,0
282,500,10,0
283,500,10,0
284,500,10,0
285,500,10,0
286,500,10,0
287,500,10,0
288,500,10,0
113,1800,90,0
114,1800,85,0
115,1800,85,0
116,1800,70,0
117,1800,90,0
118,1800,90,0
119,1800,79,0
121,1800,70,0
122,1800,70,0
123,1800,70,0
124,1800,70,0
125,1800,70,0
126,1800,75,0
127,1800,79,0
128,1800,50,0
129,1800,65,0
131,1800,60,0
132,1800,60,0
133,1800,60,0
134,1800,60,0
135,1800,60,0
136,1800,65,0
137,1800,70,0
138,1800,40,0
139,1800,55,0
141,1800,50,0
142,1800,55,0
143,1800,45,0
144,1800,50,0
150,1800,55,0
151,1800,55,0
152,1800,65,0
153,1800,65,0
154,1800,65,0
155,1800,65,0
156,1800,65,0
157,1800,60,0
158,1800,50,0
159,1800,40,0
160,1800,40,0
161,1800,40,0
162,1200,30,0
163,1200,30,0
164,1200,25,0
165,1200,25,0
301,800,16,0
302,800,16,0
303,600,12,0
304,800,16,0
305,600,12,0
311,800,16,0
312,600,12,0
313,800,16,0
314,600,12,0
315,800,16,0
316,600,12,0
317,800,16,0
318,600,12,0
319,800,16,0
320,600,12,0
321,800,16,0
322,600,12,0
323,800,20,0
324,1800,40,0
325,800,16,0
326,600,12,0
327,800,16,0
328,500,10,0
329,500,10,0
330,800,20,0
331,800,20,0
332,800,16,0
333,800,16,0
334,800,20,0
335,800,20,0
336,800,20,0
337,800,16,0
338,800,16,0
341,800,16,0
342,800,16,0
343,800,16,0
344,800,16,0
345,800,16,0
346,800,16,0
347,800,16,0
348,800,16,0
349,800,16,0
350,800,16,0
351,800,16,0
352,800,16,0
353,800,20,0
354,800,16,0
355,800,16,0
356,800,16,0
357,800,20,0
358,800,20,0
359,800,30,0
361,800,16,0
362,800,16,0
363,800,16,0
364,800,16,0
365,800,16,0
366,800,16,0
367,800,16,0
368,800,16,0
369,800,16,0
370,800,16,0
371,800,16,0
372,800,16,0
373,800,20,0
374,800,16,0
375,800,16,0
376,800,16,0
377,800,20,0
378,800,20,0
379,800,30,0
381,500,10,0
382,500,10,0
383,500,10,0
384,500,10,0
385,500,10,0
386,500,10,0
387,500,10,0
388,500,10,0
401,1000,20,0
402,1000,20,0
403,1000,20,0
404,1000,20,0
405,1000,20,0
406,1000,20,0
407,1000,20,0
408,1000,20,0
411,1000,20,0
412,1000,20,0
413,1000,20,0
414,1000,20,0
415,1000,20,0
421,500,10,0
422,500,10,0
423,500,10,0
424,500,10,0
425,500,10,0
426,500,10,0
427,500,10,0
431,500,10,0
432,500,10,0
433,500,10,0
434,500,10,0
435,500,10,0
436,500,10,0
437,500,10,0
438,500,10,0
441,500,10,0
442,500,10,0
443,500,10,0
444,500,10,0
445,500,10,0
446,500,10,0
447,500,10,0
448,500,10,0
